#No.      Date        Time         Lat.      Lon.        Dep.     Mag.   Coef.      Times_MAD           Reference
   1   2023/12/01   05:57:18.170   19.3660   -99.2020     0.78    0.80  0.3092     9.2200      20231203002902.38
   2   2023/12/01   07:55:20.120   19.3680   -99.1980     0.99    0.32  0.3551     9.1700      20231212170627.74
   3   2023/12/01   09:46:37.070   19.3710   -99.1980     0.99    0.40  0.3352     9.3000      20231212171437.60
   4   2023/12/01   10:49:48.840   19.3700   -99.2020     0.94    0.30  0.3651     9.4300      20231212170627.74
   5   2023/12/01   11:44:40.240   19.3620   -99.2010     0.32    1.22  0.3273     9.2000      20231215102230.84
   1   2023/12/02   01:19:42.490   19.3590   -99.2010     1.47    0.39  0.3511     9.0500      20231212170855.36
   2   2023/12/02   04:18:56.860   19.3640   -99.1970     1.03    1.55  0.3608     9.0400      20231212202309.88
   3   2023/12/02   16:09:23.230   19.3660   -99.2050     0.98    1.74  0.3619     9.0600      20231212202309.88
   4   2023/12/02   18:17:58.660   19.3670   -99.1990     0.91    0.92  0.3006     9.0000      20231228093354.80
   1   2023/12/03   00:29:02.380   19.3640   -99.2000     0.88    2.00  0.8907    25.7600      20231203002902.38
   2   2023/12/03   05:32:31.810   19.3680   -99.1960     1.12    0.55  0.3494     9.0000      20231212170753.06
   3   2023/12/03   21:29:46.600   19.3680   -99.2040     1.32    0.78  0.3504     9.0300      20231212170753.06
   1   2023/12/04   03:16:14.430   19.3650   -99.2030     1.04    1.21  0.3086     9.2400      20231228094951.29
   2   2023/12/04   05:23:42.550   19.3630   -99.1970     0.86    0.89  0.3086     9.1400      20231228093354.80
   3   2023/12/04   05:45:38.430   19.3680   -99.2010     0.91    0.66  0.2979     9.1100      20231226133545.28
   4   2023/12/04   05:58:52.880   19.3590   -99.2010     1.32    0.18  0.3522     9.1600      20231212170855.36
   5   2023/12/04   07:13:27.050   19.3690   -99.1950     1.15    0.35  0.3183     9.1100      20231214201314.72
   6   2023/12/04   18:48:11.660   19.3650   -99.1980     0.94    0.99  0.3383     9.3700      20231212171437.60
   1   2023/12/05   10:30:04.710   19.3680   -99.2040     1.17    0.42  0.3534     9.0200      20231212170753.06
   2   2023/12/05   10:34:17.690   19.3680   -99.1940     0.94    0.45  0.3532     9.0900      20231212170627.74
   3   2023/12/05   11:27:15.720   19.3670   -99.1990     1.01    1.01  0.3012     9.0400      20231228093354.80
   4   2023/12/05   16:28:33.200   19.3640   -99.1950     1.08    0.84  0.3603     9.8200      20231214201520.68
   1   2023/12/06   05:01:30.980   19.3670   -99.1990     0.94    1.22  0.3101     9.3400      20231228094951.29
   2   2023/12/06   08:15:56.710   19.3660   -99.2050     0.98    1.20  0.3687     9.2100      20231212202309.88
   3   2023/12/06   08:23:10.880   19.3660   -99.2000     1.17    0.44  0.3878     9.9500      20231212170753.06
   4   2023/12/06   09:06:57.480   19.3700   -99.1960     1.12    0.48  0.3541     9.0900      20231212170753.06
   5   2023/12/06   11:20:54.450   19.3700   -99.1960     1.32    0.64  0.3643     9.3500      20231212170753.06
   6   2023/12/06   11:24:14.770   19.3640   -99.1970     0.86    0.65  0.2975     9.0300      20231226133545.28
   7   2023/12/06   20:45:19.610   19.3620   -99.1930     0.47    1.26  0.3209     9.0400      20231215102230.84
   8   2023/12/06   22:57:33.590   19.3580   -99.1990     1.60    0.85  0.3157     9.0100      20231218192755.98
   1   2023/12/07   06:27:21.580   19.3640   -99.1980     0.83    0.79  0.3072     9.0200      20231203002902.38
   2   2023/12/07   08:26:14.940   19.3690   -99.1970     1.30    0.42  0.3161     9.0200      20231214201314.72
   3   2023/12/07   11:49:48.300   19.3700   -99.2010     0.81    0.56  0.2927     9.0900      20231226133545.28
   4   2023/12/07   14:29:15.520   19.3660   -99.2010     0.98    1.74  0.3754     9.3400      20231212202309.88
   1   2023/12/08   02:46:24.340   19.3660   -99.2010     1.80    0.74  0.3259     9.2800      20231218192755.98
   2   2023/12/08   03:54:52.390   19.3620   -99.1990     1.60    0.66  0.3508     9.9900      20231218192755.98
   3   2023/12/08   04:40:50.020   19.3670   -99.1960     0.99    0.70  0.3429     9.5600      20231212171437.60
