Date,time,latitutde,longitude,depth,magnitude,cc,MAD,waveforms
2023/05/01,08:58:31.140,19.3630,-99.1940,1.00,0.60,0.2559,9.3900,DetectedFinal_20230501_01.jpg
2023/05/02,04:03:36.730,19.3690,-99.1860,1.00,0.75,0.2321,9.4600,DetectedFinal_20230502_01.jpg
2023/05/02,14:13:44.400,19.3580,-99.2040,1.15,0.78,0.2597,9.2000,DetectedFinal_20230502_02.jpg
2023/05/02,15:43:11.340,19.3620,-99.2020,0.75,1.21,0.2990,9.1700,DetectedFinal_20230502_03.jpg
2023/05/02,20:50:13.970,19.3690,-99.2060,0.75,1.58,0.2529,9.0800,DetectedFinal_20230502_04.jpg
2023/05/02,22:50:23.580,19.3600,-99.2010,2.00,1.54,0.2708,9.1900,DetectedFinal_20230502_05.jpg
2023/05/03,06:05:48.840,19.3630,-99.1900,0.50,0.70,0.2517,10.2600,DetectedFinal_20230503_01.jpg
2023/05/03,11:10:24.180,19.3700,-99.2030,1.25,0.74,0.2278,9.0400,DetectedFinal_20230503_02.jpg
2023/05/03,12:19:55.980,19.3560,-99.2000,1.50,1.27,0.2623,9.1700,DetectedFinal_20230503_03.jpg
2023/05/03,16:14:18.490,19.3550,-99.1920,1.25,1.02,0.2384,9.0500,DetectedFinal_20230503_04.jpg
2023/05/03,17:45:41.970,19.3560,-99.1960,0.50,1.41,0.2444,9.1200,DetectedFinal_20230503_05.jpg
2023/05/03,19:21:10.390,19.3610,-99.2040,0.55,0.84,0.2686,9.3400,DetectedFinal_20230503_06.jpg
2023/05/04,08:20:43.980,19.3680,-99.1950,1.50,1.45,0.2624,9.2400,DetectedFinal_20230504_01.jpg
2023/05/04,10:30:07.040,19.3650,-99.1940,0.50,0.64,0.2482,9.0900,DetectedFinal_20230504_02.jpg
2023/05/04,16:09:15.770,19.3640,-99.2000,1.00,1.20,0.2600,9.0400,DetectedFinal_20230504_03.jpg
2023/05/04,21:17:00.510,19.3690,-99.1990,1.00,0.79,0.2343,9.1700,DetectedFinal_20230504_04.jpg
2023/05/05,05:24:57.800,19.3600,-99.1900,1.50,1.50,0.2488,9.2200,DetectedFinal_20230505_01.jpg
2023/05/05,06:13:19.870,19.3670,-99.1900,0.50,0.99,0.2655,9.7400,DetectedFinal_20230505_02.jpg
2023/05/05,06:50:41.770,19.3650,-99.1850,0.75,0.57,0.2541,9.5100,DetectedFinal_20230505_03.jpg
2023/05/05,06:50:52.900,19.3680,-99.1950,1.00,1.53,0.2625,9.1800,DetectedFinal_20230505_04.jpg
2023/05/05,08:58:16.490,19.3660,-99.1970,1.50,0.82,0.2321,9.1800,DetectedFinal_20230505_05.jpg
2023/05/05,10:02:41.900,19.3600,-99.1990,1.00,1.47,0.2655,9.2900,DetectedFinal_20230505_06.jpg
2023/05/05,15:18:43.550,19.3640,-99.1950,1.00,1.57,0.2516,9.1300,DetectedFinal_20230505_07.jpg
2023/05/05,18:16:49.790,19.3550,-99.2160,0.50,1.10,0.2787,9.0200,DetectedFinal_20230505_08.jpg
2023/05/05,19:11:35.320,19.3560,-99.2050,1.50,0.90,0.2615,9.0000,DetectedFinal_20230505_09.jpg
2023/05/06,05:53:10.090,19.3670,-99.2010,1.50,0.69,0.2347,9.2100,DetectedFinal_20230506_01.jpg
2023/05/06,07:02:42.250,19.3630,-99.1840,0.75,0.62,0.2276,9.3500,DetectedFinal_20230506_02.jpg
2023/05/06,10:24:32.440,19.3610,-99.2060,1.50,0.92,0.2558,9.1800,DetectedFinal_20230506_03.jpg
2023/05/06,10:28:28.800,19.3690,-99.1860,1.00,0.68,0.2200,9.0300,DetectedFinal_20230506_04.jpg
2023/05/06,12:01:45.610,19.3690,-99.1940,0.50,0.86,0.2461,9.0200,DetectedFinal_20230506_05.jpg
2023/05/06,13:56:10.020,19.3670,-99.2010,1.50,1.03,0.2398,9.4100,DetectedFinal_20230506_06.jpg
2023/05/06,23:58:06.330,19.3560,-99.1950,1.00,1.48,0.2584,9.4000,DetectedFinal_20230506_07.jpg
2023/05/07,05:57:24.620,19.3770,-99.2020,1.25,0.72,0.2903,9.1400,DetectedFinal_20230507_01.jpg
2023/05/07,14:05:19.650,19.3660,-99.2050,0.50,0.84,0.2296,9.0900,DetectedFinal_20230507_02.jpg
2023/05/07,19:57:22.100,19.3600,-99.2050,1.00,1.41,0.2892,9.8000,DetectedFinal_20230507_03.jpg
2023/05/07,21:08:38.850,19.3640,-99.1960,1.25,0.58,0.2491,9.2700,DetectedFinal_20230507_04.jpg
2023/05/07,22:58:11.800,19.3780,-99.2070,0.50,1.35,0.2497,9.0200,DetectedFinal_20230507_05.jpg
2023/05/08,03:05:32.580,19.3690,-99.2080,0.75,0.90,0.2632,9.2100,DetectedFinal_20230508_01.jpg
2023/05/08,05:17:47.620,19.3700,-99.1970,1.50,0.88,0.2286,9.0200,DetectedFinal_20230508_02.jpg
2023/05/08,11:31:42.300,19.3640,-99.1980,0.75,0.37,0.2674,9.2400,DetectedFinal_20230508_03.jpg
2023/05/08,21:50:27.090,19.3690,-99.1880,0.50,1.16,0.2459,9.0700,DetectedFinal_20230508_04.jpg
2023/05/09,08:33:53.680,19.3620,-99.1900,1.25,1.27,0.2425,9.0200,DetectedFinal_20230509_01.jpg
2023/05/09,09:15:44.540,19.3690,-99.1880,1.50,0.64,0.2517,9.1900,DetectedFinal_20230509_02.jpg
2023/05/09,09:49:48.620,19.3670,-99.1940,1.00,0.66,0.2689,9.8200,DetectedFinal_20230509_03.jpg
2023/05/09,10:32:19.620,19.3560,-99.1900,1.25,1.21,0.2596,9.6500,DetectedFinal_20230509_04.jpg
2023/05/10,06:38:46.490,19.3700,-99.1970,1.50,0.88,0.2403,9.5500,DetectedFinal_20230510_01.jpg
2023/05/10,10:57:41.740,19.3630,-99.2040,0.50,1.14,0.2533,9.1700,DetectedFinal_20230510_02.jpg
2023/05/10,12:57:57.120,19.3710,-99.1900,1.50,1.01,0.2235,9.1900,DetectedFinal_20230510_03.jpg
2023/05/11,04:20:16.800,19.3630,-99.2040,0.80,2.80,1.0000,34.4100,DetectedFinal_20230511_01.jpg
2023/05/11,04:21:29.140,19.3730,-99.1990,1.00,1.40,0.9999,37.6000,DetectedFinal_20230511_02.jpg
2023/05/11,04:21:48.430,19.3710,-99.2030,0.50,0.78,0.3102,11.6700,DetectedFinal_20230511_03.jpg
2023/05/11,04:22:04.310,19.3710,-99.2020,1.50,0.89,0.3609,11.4900,DetectedFinal_20230511_04.jpg
2023/05/11,04:22:29.630,19.3730,-99.2060,1.00,1.30,0.9992,31.8200,DetectedFinal_20230511_05.jpg
2023/05/11,04:23:09.400,19.3720,-99.2030,1.50,1.30,0.3799,13.8300,DetectedFinal_20230511_06.jpg
2023/05/11,04:24:12.500,19.3600,-99.2010,1.00,1.00,0.9982,32.3400,DetectedFinal_20230511_07.jpg
2023/05/11,04:24:33.650,19.3770,-99.2100,0.50,0.84,0.3208,10.2100,DetectedFinal_20230511_08.jpg
2023/05/11,04:25:59.470,19.3600,-99.2050,1.00,1.50,0.9995,34.4300,DetectedFinal_20230511_09.jpg
2023/05/11,04:29:51.830,19.3600,-99.2010,1.50,2.60,0.9999,33.6800,DetectedFinal_20230511_10.jpg
2023/05/11,04:34:52.890,19.3660,-99.2010,1.00,1.80,0.9998,39.5400,DetectedFinal_20230511_11.jpg
2023/05/11,04:37:32.940,19.3560,-99.1930,1.50,1.36,0.2568,9.3700,DetectedFinal_20230511_12.jpg
2023/05/11,04:40:07.180,19.3560,-99.2020,1.20,1.01,0.3212,9.6500,DetectedFinal_20230511_13.jpg
2023/05/11,04:40:31.750,19.3570,-99.2120,1.00,1.30,0.9989,32.2400,DetectedFinal_20230511_14.jpg
2023/05/11,05:13:58.470,19.3620,-99.2010,0.50,1.59,0.2614,9.1300,DetectedFinal_20230511_15.jpg
