#No.      Date        Time         Lat.      Lon.        Dep.     Mag.   Coef.      Times_MAD           Reference
   1   2023/05/02   18:56:33.860   19.3600   -99.1950     1.23    1.69  0.2740     9.0400      20230511152523.27
   1   2023/05/03   11:17:15.890   19.3640   -99.1855     1.41    1.17  0.2834     9.0900      20230511143828.21
   2   2023/05/03   22:10:55.530   19.3645   -99.1900     1.27    1.39  0.2494     9.0700      20230511074322.89
   1   2023/05/04   08:11:22.860   19.3630   -99.1820     1.09    1.08  0.3099     9.3300      20230516105030.89
   2   2023/05/04   08:19:42.920   19.3620   -99.1890     1.82    0.44  0.3279     9.3200      20230511165546.88
   3   2023/05/04   18:45:29.320   19.3625   -99.2000     0.82    1.16  0.2769     9.8500      20230511042017.00
   1   2023/05/05   12:04:37.160   19.3630   -99.1980     0.97    1.07  0.2794     9.9600      20230511042017.00
   1   2023/05/06   11:29:34.650   19.3630   -99.1910     1.12    1.60  0.2481     9.0300      20230511074322.89
   1   2023/05/08   08:01:03.240   19.3620   -99.1980     0.97    0.84  0.2548     9.0600      20230511042017.00
   1   2023/05/09   05:51:10.720   19.3625   -99.1820     1.48    1.08  0.3216     9.5300      20230517040903.56
   1   2023/05/10   11:50:35.880   19.3625   -99.1890     1.87    0.65  0.3183     9.0900      20230511165546.88
   1   2023/05/11   04:20:19.760   19.3640   -99.1970     0.91    3.20  1.0000    34.5900      20230511042019.76
   2   2023/05/11   04:21:29.230   19.3690   -99.1900     1.40    1.40  0.9817    31.1100      20230511042129.23
   3   2023/05/11   04:22:04.600   19.3685   -99.1970     1.05    1.09  0.2926     9.0600      20230511042229.97
   4   2023/05/11   04:22:29.970   19.3690   -99.1980     0.95    1.30  0.9624    29.8100      20230511042229.97
   5   2023/05/11   04:23:13.000   19.3610   -99.2000     0.88    1.83  0.3731    12.5300      20230511042951.59
   6   2023/05/11   04:24:34.010   19.3700   -99.1990     1.05    1.09  0.3107     9.6200      20230511042229.97
   7   2023/05/11   04:25:56.960   19.3640   -99.1980     0.76    1.10  0.9721    31.8200      20230511042556.96
   8   2023/05/11   04:29:51.590   19.3600   -99.2010     0.78    2.60  0.9951    33.4300      20230511042951.59
