#No.      Date        Time         Lat.      Lon.        Dep.     Mag.   Coef.      Times_MAD           Reference
   1   2023/05/05   12:04:37.160   19.3630   -99.1990     0.92    1.07  0.2542     9.0600      20230511042017.00
   1   2023/05/11   04:20:19.760   19.3640   -99.1970     0.91    3.20  1.0000    34.5900      20230511042019.76
   2   2023/05/11   04:21:29.230   19.3690   -99.1900     1.40    1.40  0.9817    31.1100      20230511042129.23
   3   2023/05/11   04:22:29.970   19.3690   -99.1980     0.95    1.30  0.9624    29.8100      20230511042229.97
   4   2023/05/11   04:23:12.980   19.3600   -99.2010     0.78    1.83  0.3663    12.3000      20230511042951.59
   5   2023/05/11   04:25:56.960   19.3640   -99.1980     0.76    1.10  0.9721    31.8200      20230511042556.96
   6   2023/05/11   04:29:51.590   19.3600   -99.2010     0.78    2.60  0.9951    33.4300      20230511042951.59
   7   2023/05/11   04:34:53.090   19.3630   -99.1930     1.23    1.80  0.9755    32.9900      20230511043453.09
   8   2023/05/11   04:40:35.180   19.3600   -99.2010     0.78    2.18  0.3660    12.3000      20230511042951.59
   9   2023/05/11   05:19:35.290   19.3600   -99.2010     0.78    1.80  0.3239    10.8800      20230511042951.59
  10   2023/05/11   07:43:22.890   19.3640   -99.1910     1.17    2.00  0.9839    35.4900      20230511074322.89
  11   2023/05/11   10:39:31.210   19.3640   -99.1980     0.76    0.89  0.3505    11.4700      20230511042556.96
  12   2023/05/11   13:25:10.260   19.3630   -99.1970     1.42    1.60  0.9877    31.1600      20230511132510.26
  13   2023/05/11   14:38:28.210   19.3640   -99.1860     1.51    1.60  0.9871    31.4800      20230511143828.21
  14   2023/05/11   14:43:40.970   19.3610   -99.1950     0.65    1.20  0.9912    30.9400      20230511144340.97
  15   2023/05/11   15:05:31.120   19.3640   -99.1930     1.63    2.20  0.9958    34.5000      20230511150531.12
  16   2023/05/11   15:25:23.270   19.3610   -99.1940     1.28    2.00  0.9902    32.8500      20230511152523.27
  17   2023/05/11   15:58:09.430   19.3600   -99.1960     1.00    1.30  0.9880    26.2600      20230511155809.43
  18   2023/05/11   16:01:19.670   19.3620   -99.1970     0.78    0.95  0.3214     9.9000      20230511171302.72
  19   2023/05/11   16:55:46.880   19.3630   -99.1900     1.77    1.20  0.9907    28.1300      20230511165546.88
  20   2023/05/11   17:13:02.720   19.3620   -99.1970     0.78    1.00  0.9942    30.6300      20230511171302.72
  21   2023/05/11   20:07:49.560   19.3620   -99.2060     0.48    1.55  0.4334    12.8500      20230512101933.83
   1   2023/05/12   04:05:17.930   19.3620   -99.1970     0.78    0.65  0.3660    11.2700      20230511171302.72
   2   2023/05/12   10:19:33.830   19.3620   -99.2060     0.48    1.30  0.9895    29.3900      20230512101933.83
   3   2023/05/12   10:31:01.060   19.3630   -99.1900     1.77    0.56  0.3535    10.1500      20230511165546.88
   4   2023/05/12   23:46:50.640   19.3630   -99.1910     1.32    2.20  0.9997    33.2600      20230512234650.64
   1   2023/05/15   00:41:01.450   19.3720   -99.1930     1.55    1.80  0.9965    31.6700      20230515004101.45
   1   2023/05/16   10:50:30.890   19.3620   -99.1810     1.09    1.60  0.9993    30.1500      20230516105030.89
   1   2023/05/17   04:09:03.560   19.3630   -99.1810     1.53    1.50  0.9758    29.0000      20230517040903.56
   1   2023/05/18   06:43:54.150   19.3630   -99.1930     1.23    1.13  0.2652     9.0600      20230511043453.09
