#No.      Date        Time         Lat.      Lon.        Dep.     Mag.   Coef.      Times_MAD           Reference
   1   2023/12/01   06:02:52.420   19.3630   -99.1995     1.37    0.09  0.3495     9.1400      20231212170855.36
   2   2023/12/01   07:55:20.010   19.3690   -99.1995     1.09    0.32  0.3530     9.1200      20231212170627.74
   3   2023/12/01   09:46:37.260   19.3690   -99.1955     0.64    0.60  0.3358     9.2900      20231212171437.68
   4   2023/12/01   11:44:40.310   19.3630   -99.2000     0.32    1.22  0.3275     9.2000      20231215102230.84
   1   2023/12/02   03:50:21.390   19.3700   -99.1950     1.13    0.58  0.3194     9.0000      20231212171229.12
   2   2023/12/02   16:09:23.200   19.3590   -99.2025     0.98    1.74  0.3684     9.2300      20231212202309.88
   3   2023/12/02   18:17:58.660   19.3670   -99.1990     0.91    0.92  0.3006     9.0000      20231228093354.80
   1   2023/12/03   00:29:02.380   19.3640   -99.2000     0.88    2.00  0.8907    25.7600      20231203002902.38
   2   2023/12/03   07:45:00.810   19.3640   -99.1960     0.84    0.97  0.3039     9.0800      20231228094951.29
   3   2023/12/03   21:29:46.660   19.3675   -99.2030     1.27    0.78  0.3527     9.0900      20231212170753.06
   1   2023/12/04   05:23:42.390   19.3700   -99.2020     0.91    0.89  0.3043     9.0100      20231228093354.80
   2   2023/12/04   05:45:38.470   19.3680   -99.2005     0.86    0.66  0.3054     9.3400      20231226133545.28
   3   2023/12/04   18:48:11.670   19.3655   -99.1980     0.94    0.99  0.3425     9.4800      20231212171437.60
   1   2023/12/05   02:47:13.590   19.3665   -99.1990     1.25    1.02  0.3174     9.0700      20231214201314.72
   2   2023/12/05   10:34:17.590   19.3630   -99.2030     1.17    0.55  0.3653     9.3200      20231212170753.06
   3   2023/12/05   11:19:38.680   19.3700   -99.2020     0.84    1.32  0.3011     9.0500      20231228094951.29
   4   2023/12/05   11:27:15.720   19.3670   -99.1990     1.01    1.01  0.3012     9.0400      20231228093354.80
   5   2023/12/05   16:28:33.150   19.3640   -99.1960     1.13    0.84  0.3496     9.5300      20231214201520.68
   1   2023/12/06   05:01:30.870   19.3670   -99.2005     1.04    1.22  0.3105     9.3500      20231228094951.29
   2   2023/12/06   08:15:56.840   19.3650   -99.2025     0.93    1.20  0.3657     9.1400      20231212202309.88
   3   2023/12/06   08:23:10.880   19.3660   -99.2000     1.17    0.44  0.3878     9.9500      20231212170753.06
   1   2023/12/07   06:27:21.580   19.3640   -99.1985     0.78    0.79  0.3086     9.0600      20231203002902.38
   2   2023/12/07   12:09:17.580   19.3635   -99.2030     1.80    0.76  0.3234     9.2200      20231218192755.98
   1   2023/12/08   02:46:24.440   19.3650   -99.2000     1.65    0.74  0.3331     9.4900      20231218192755.98
   2   2023/12/08   03:54:52.310   19.3620   -99.2000     1.70    0.66  0.3575    10.1800      20231218192755.98
   3   2023/12/08   10:16:54.330   19.3650   -99.1995     0.98    1.31  0.3626     9.1100      20231212202309.88
   4   2023/12/08   10:58:15.840   19.3690   -99.1955     0.37    1.21  0.3265     9.1000      20231215102230.84
   5   2023/12/08   11:39:24.070   19.3630   -99.2000     1.27    0.71  0.3504     9.0600      20231212170753.06
   6   2023/12/08   12:06:58.630   19.3655   -99.1960     1.04    1.25  0.2983     9.0200      20231228094951.29
   7   2023/12/08   15:12:41.190   19.3650   -99.2020     0.76    0.59  0.2897     9.0200      20231226133545.28
   1   2023/12/09   05:02:53.030   19.3590   -99.2030     1.65    0.65  0.3243     9.1800      20231218192755.98
   2   2023/12/09   06:06:35.790   19.3675   -99.1970     1.24    1.26  0.3100     9.0800      20231216091035.51
