#No.      Date        Time         Lat.      Lon.        Dep.     Mag.   Coef.      Times_MAD           Reference
   1   2023/01/01   10:00:20.000   19.3650   -99.1910     1.27    0.29  0.2726    10.8100      20230512234650.64
   2   2023/01/01   10:24:28.200   19.3660   -99.1890     1.53   -0.02  0.2348     9.7100      20230511150531.12
   3   2023/01/01   10:34:56.370   19.3730   -99.1940     1.40   -0.45  0.2100     9.0600      20230511042129.23
   4   2023/01/01   20:23:36.670   19.3670   -99.1900     1.72    0.24  0.2122     9.0700      20230511165546.88
   1   2023/01/02   03:58:29.910   19.3670   -99.1850     1.63   -0.06  0.2450     9.2300      20230517040903.56
   2   2023/01/02   06:29:39.110   19.3610   -99.1950     1.27    0.43  0.2581     9.8200      20230512234650.64
   3   2023/01/02   07:47:59.700   19.3590   -99.1930     1.32    0.19  0.2391     9.1000      20230512234650.64
   4   2023/01/02   10:09:23.470   19.3620   -99.1930     0.86   -0.32  0.2639     9.3900      20230511042019.76
   5   2023/01/02   10:43:43.270   19.3740   -99.1890     1.55    0.58  0.2394     9.5600      20230515004101.45
   6   2023/01/02   11:12:54.260   19.3680   -99.1950     1.12    0.27  0.2491     9.3300      20230511074322.89
   7   2023/01/02   11:21:16.170   19.3630   -99.1770     1.43   -0.01  0.2458     9.2600      20230517040903.56
   8   2023/01/02   11:23:39.140   19.3600   -99.1970     0.78    0.82  0.2334     9.0500      20230511042951.59
   9   2023/01/02   11:24:32.760   19.3610   -99.1970     1.23    0.54  0.2376     9.1300      20230511043453.09
  10   2023/01/02   11:25:38.550   19.3670   -99.1830     1.63    0.13  0.2461     9.2800      20230517040903.56
  11   2023/01/02   11:32:45.210   19.3590   -99.1910     1.37    0.48  0.2379     9.0600      20230512234650.64
  12   2023/01/02   11:45:08.100   19.3670   -99.1870     1.32    0.60  0.2402     9.1400      20230512234650.64
  13   2023/01/02   11:45:27.330   19.3590   -99.1870     1.42    0.61  0.2394     9.1100      20230512234650.64
  14   2023/01/02   12:46:05.750   19.3600   -99.1890     1.53    0.72  0.2329     9.1100      20230511150531.12
  15   2023/01/02   16:41:28.280   19.3600   -99.1970     1.53    0.04  0.2315     9.0600      20230511150531.12
  16   2023/01/02   17:46:30.140   19.3620   -99.2020     0.53    1.10  0.2715     9.2600      20230512101933.83
  17   2023/01/02   18:12:32.630   19.3600   -99.1930     1.07    0.59  0.2361     9.1500      20230511074322.89
  18   2023/01/02   19:30:47.050   19.3680   -99.1930     1.17    0.38  0.2431     9.4300      20230511074322.89
  19   2023/01/02   20:01:54.820   19.3620   -99.1930     1.17    0.05  0.2447     9.4900      20230511074322.89
  20   2023/01/02   20:44:01.950   19.3680   -99.1950     0.86    0.31  0.2467     9.0300      20230511042019.76
  21   2023/01/02   20:54:53.240   19.3640   -99.1950     1.73    0.63  0.2325     9.0900      20230511150531.12
  22   2023/01/02   20:56:16.720   19.3680   -99.1970     0.91    0.47  0.2494     9.1300      20230511042019.76
  23   2023/01/02   21:04:52.310   19.3600   -99.1930     0.86    0.35  0.2578     9.4400      20230511042019.76
  24   2023/01/02   21:15:21.770   19.3720   -99.1950     1.65    0.91  0.2524     9.3500      20230515004101.45
  25   2023/01/02   21:18:54.410   19.3600   -99.2010     0.81    0.40  0.2491     9.1200      20230511042019.76
  26   2023/01/02   21:21:01.060   19.3600   -99.1950     0.81    0.42  0.2682     9.8200      20230511042019.76
  27   2023/01/02   21:53:43.530   19.3620   -99.2010     1.01    0.43  0.2539     9.2900      20230511042019.76
   1   2023/01/03   01:55:52.070   19.3560   -99.2030     0.73    1.13  0.2757     9.3900      20230511042951.59
   2   2023/01/03   02:02:51.400   19.3670   -99.1810     1.48    0.60  0.2587     9.0200      20230517040903.56
   3   2023/01/03   03:25:10.690   19.3660   -99.1820     1.51    0.80  0.2706     9.5500      20230511143828.21
   4   2023/01/03   06:56:38.080   19.3640   -99.2060     0.10    1.23  0.2580     9.0300      20230511042948.21
   5   2023/01/03   10:45:51.600   19.3580   -99.1830     0.99    0.47  0.2837     9.4900      20230516105030.89
   6   2023/01/03   11:42:33.910   19.3630   -99.1930     1.37    0.68  0.2672     9.3100      20230512234650.64
   7   2023/01/03   12:58:49.770   19.3660   -99.1910     1.63    0.61  0.2625     9.4100      20230511150531.12
   8   2023/01/03   16:39:02.950   19.3660   -99.1980     0.76    0.87  0.2677     9.4900      20230511042556.96
   9   2023/01/03   20:19:20.520   19.3630   -99.1930     0.60    0.70  0.2813     9.1700      20230511144340.97
  10   2023/01/03   23:10:34.920   19.3640   -99.1930     0.91    0.40  0.2863     9.0700      20230511042019.76
   1   2023/01/04   01:45:22.240   19.3640   -99.1820     1.61    1.12  0.2657     9.3400      20230511143828.21
   2   2023/01/04   02:41:31.420   19.3650   -99.1790     1.53    0.58  0.2685     9.1200      20230517040903.56
   3   2023/01/04   07:34:38.070   19.3680   -99.1910     1.45    0.62  0.2627     9.2100      20230515004101.45
   4   2023/01/04   09:04:42.980   19.3600   -99.1950     1.53    0.14  0.2467     9.2200      20230511150531.12
   5   2023/01/04   09:56:41.450   19.3670   -99.1860     1.77   -0.03  0.2948     9.2300      20230511165546.88
   6   2023/01/04   22:00:22.610   19.3600   -99.2000     1.05    0.60  0.2856     9.0000      20230511155809.43
   7   2023/01/04   22:18:58.580   19.3640   -99.1990     0.78    1.20  0.2830     9.3100      20230511042951.59
   1   2023/01/05   09:03:50.370   19.3650   -99.2010     0.87   -0.09  0.2614     9.3000      20230511042017.00
   2   2023/01/05   10:28:41.800   19.3610   -99.1940     1.77    0.00  0.2531     9.1100      20230511165546.88
   3   2023/01/05   10:32:02.040   19.3610   -99.1880     1.67    0.03  0.2639     9.5000      20230511165546.88
   4   2023/01/05   10:32:16.190   19.3650   -99.1870     1.37    0.59  0.2556     9.0200      20230512234650.64
   5   2023/01/05   10:36:46.960   19.3650   -99.1940     1.67    0.08  0.2549     9.1700      20230511165546.88
   6   2023/01/05   10:40:24.970   19.3650   -99.1860     1.72    0.05  0.2501     9.0000      20230511165546.88
   7   2023/01/05   10:54:00.240   19.3590   -99.1920     1.67    0.16  0.2503     9.0100      20230511165546.88
   8   2023/01/05   10:57:35.080   19.3610   -99.1880     1.82    0.22  0.2523     9.0800      20230511165546.88
   9   2023/01/05   10:58:41.600   19.3660   -99.2040     0.58    0.85  0.2603     9.3600      20230512101933.83
  10   2023/01/05   11:04:32.260   19.3670   -99.1930     1.37    0.47  0.2769     9.7800      20230512234650.64
  11   2023/01/05   11:08:50.660   19.3630   -99.1940     1.67    0.19  0.2566     9.2300      20230511165546.88
  12   2023/01/05   11:11:33.960   19.3580   -99.2040     0.58    1.09  0.2505     9.0100      20230512101933.83
  13   2023/01/05   11:15:20.950   19.3660   -99.2080     0.38    1.07  0.2536     9.1200      20230512101933.83
  14   2023/01/05   11:21:21.120   19.3620   -99.1790     0.99    1.16  0.2545     9.2300      20230516105030.89
  15   2023/01/05   11:22:18.510   19.3600   -99.2030     0.88    1.07  0.2651     9.4300      20230511042951.59
  16   2023/01/05   11:25:18.000   19.3650   -99.1950     1.22    0.78  0.2746     9.7000      20230512234650.64
  17   2023/01/05   11:27:27.840   19.3640   -99.1810     1.19    1.24  0.2611     9.4700      20230516105030.89
  18   2023/01/05   11:48:20.150   19.3590   -99.1970     1.18    0.64  0.2454     9.1000      20230511043453.09
  19   2023/01/05   11:51:44.160   19.3630   -99.1920     1.67    0.21  0.2654     9.5500      20230511165546.88
  20   2023/01/05   12:06:35.090   19.3610   -99.1940     1.77    0.38  0.2248     9.2500      20230511165546.88
  21   2023/01/05   12:07:29.660   19.3620   -99.1810     0.99    0.82  0.2464     9.6300      20230516105030.89
  22   2023/01/05   12:09:17.960   19.3670   -99.1880     1.67    0.31  0.2277     9.3700      20230511165546.88
  23   2023/01/05   12:16:36.030   19.3670   -99.1860     1.87    0.09  0.2365     9.7300      20230511165546.88
  24   2023/01/05   12:17:38.110   19.3650   -99.1880     1.82    0.35  0.2209     9.0900      20230511165546.88
  25   2023/01/05   12:19:30.810   19.3590   -99.1900     1.82    0.32  0.2409     9.9100      20230511165546.88
