No      Date        Time         Lat      Lon        Dep     Mag   Coef      Times_MAD           Reference
   1   2023/05/01   05:54:02.120   19.3670   -99.1870     1.27    1.08  0.2387     9.0900      20230512234650.64
   2   2023/05/01   08:58:31.040   19.3610   -99.1930     1.27    0.88  0.2414     9.1900      20230512234650.64
   3   2023/05/01   09:52:00.340   19.3660   -99.1930     1.68    0.56  0.2070     9.0300      20230511150531.12
   1   2023/05/02   04:03:36.670   19.3680   -99.1890     1.22    1.10  0.2132     9.3800      20230511074322.89
   2   2023/05/02   08:28:09.550   19.3600   -99.1990     0.86    0.32  0.2356     9.0800      20230511042019.76
   3   2023/05/02   09:12:14.720   19.3630   -99.1940     1.72    0.51  0.2714     9.1200      20230511165546.88
   4   2023/05/02   09:40:04.380   19.3620   -99.2040     0.15    1.67  0.2295     9.1300      20230511042948.21
   5   2023/05/02   16:02:52.190   19.3580   -99.1970     0.68    1.77  0.2315     9.3800      20230511042951.59
   1   2023/05/03   07:11:45.310   19.3640   -99.1810     0.99    1.15  0.2476     9.0200      20230516105030.89
   2   2023/05/03   11:10:24.510   19.3650   -99.1910     1.18    0.89  0.2118     9.0500      20230511043453.09
   3   2023/05/03   11:21:17.260   19.3640   -99.2100     0.25    1.74  0.2278     9.1500      20230511042948.21
   4   2023/05/03   19:21:10.500   19.3590   -99.2010     0.87    0.83  0.2317     9.4100      20230511042017.00
   1   2023/05/04   00:41:46.320   19.3600   -99.1970     0.83    1.60  0.2226     9.0000      20230511042951.59
   2   2023/05/04   08:20:43.870   19.3620   -99.2020     0.20    1.57  0.2511    10.0200      20230511042948.21
   3   2023/05/04   09:46:02.580   19.3650   -99.1900     1.72    0.35  0.2679     9.0100      20230511165546.88
   4   2023/05/04   12:12:53.790   19.3580   -99.2060     0.38    1.18  0.2357     9.0100      20230512101933.83
   5   2023/05/04   21:17:00.450   19.3660   -99.1910     1.63    1.08  0.2204     9.5900      20230511150531.12
   1   2023/05/05   06:13:19.670   19.3650   -99.1910     1.22    1.06  0.2587     9.8700      20230512234650.64
   2   2023/05/05   06:50:41.600   19.3630   -99.1790     1.48    0.69  0.2305     9.0300      20230517040903.56
   3   2023/05/05   08:58:16.710   19.3630   -99.1890     1.23    0.87  0.2197     9.3600      20230511043453.09
   4   2023/05/05   10:02:41.610   19.3600   -99.2080     0.15    1.74  0.2401     9.5300      20230511042948.21
   5   2023/05/05   15:18:43.730   19.3640   -99.1830     0.99    1.41  0.2494     9.0800      20230516105030.89
   6   2023/05/05   23:16:09.550   19.3660   -99.2020     0.05    1.91  0.2368     9.4000      20230511042948.21
   1   2023/05/06   07:02:42.180   19.3620   -99.1870     1.07    0.81  0.2115     9.3500      20230511074322.89
   2   2023/05/06   08:35:33.980   19.3630   -99.1870     1.37    1.09  0.2447     9.3300      20230512234650.64
   3   2023/05/06   10:28:28.730   19.3660   -99.1890     1.27    0.73  0.2085     9.2200      20230511074322.89
   4   2023/05/06   10:46:08.810   19.3590   -99.1900     1.72    0.46  0.2728     9.0600      20230511165546.88
   5   2023/05/06   12:01:45.400   19.3670   -99.1950     1.27    1.05  0.2503     9.5400      20230512234650.64
   6   2023/05/06   13:56:10.080   19.3680   -99.1910     1.68    1.28  0.2077     9.0600      20230511150531.12
   7   2023/05/06   23:31:56.890   19.3600   -99.1840     1.51    1.24  0.2390     9.0600      20230511143828.21
   8   2023/05/06   23:58:06.520   19.3580   -99.1810     1.14    1.26  0.2558     9.3400      20230516105030.89
   1   2023/05/07   05:57:25.000   19.3730   -99.1940     0.85    0.71  0.2525     9.1200      20230511042229.97
   2   2023/05/07   12:02:35.320   19.3670   -99.1810     1.58    0.72  0.2318     9.0600      20230517040903.56
   3   2023/05/07   14:05:19.800   19.3610   -99.1970     1.18    0.96  0.2125     9.0600      20230511043453.09
   1   2023/05/08   03:05:32.650   19.3650   -99.2010     1.52    0.96  0.2431     9.1300      20230511132510.26
   2   2023/05/08   06:48:36.280   19.3620   -99.1930     0.81    0.54  0.2336     9.0400      20230511042019.76
   3   2023/05/08   08:36:36.660   19.3590   -99.1950     1.13    0.78  0.2149     9.1300      20230511043453.09
   4   2023/05/08   09:20:28.960   19.3620   -99.2040     0.25    1.52  0.2298     9.1800      20230511042948.21
   5   2023/05/08   10:20:45.590   19.3590   -99.1790     1.58    0.66  0.2308     9.0300      20230517040903.56
   6   2023/05/08   22:15:55.430   19.3590   -99.1850     1.43    0.94  0.2307     9.0300      20230517040903.56
   1   2023/05/09   00:15:44.830   19.3570   -99.1940     1.33    1.16  0.2223     9.1900      20230511152523.27
   2   2023/05/09   06:05:55.950   19.3620   -99.1880     1.56    1.22  0.2404     9.0900      20230511143828.21
   3   2023/05/09   09:49:48.510   19.3650   -99.1930     1.37    0.88  0.2549     9.7000      20230512234650.64
   4   2023/05/09   20:27:15.910   19.3600   -99.1880     1.46    1.51  0.2427     9.1700      20230511143828.21
   1   2023/05/10   06:26:02.780   19.3630   -99.1910     1.42    1.06  0.2412     9.2500      20230512234650.64
   2   2023/05/10   06:38:46.710   19.3670   -99.1890     1.33    0.90  0.2458    10.5300      20230511043453.09
   3   2023/05/10   07:49:02.450   19.3600   -99.1880     1.41    0.98  0.2384     9.0400      20230511143828.21
   4   2023/05/10   11:55:30.910   19.3630   -99.1930     0.75    0.61  0.2429     9.0600      20230511144340.97
   5   2023/05/10   11:56:03.480   19.3600   -99.1980     0.86    0.86  0.2242     9.0200      20230511042556.96
   6   2023/05/10   17:16:36.380   19.3570   -99.1980     1.38    1.14  0.2239     9.3000      20230511152523.27
   7   2023/05/10   19:47:25.360   19.3630   -99.1910     1.22    1.22  0.2381     9.1300      20230512234650.64
   8   2023/05/10   21:52:08.650   19.3620   -99.2020     0.66    1.11  0.2242     9.0200      20230511042556.96
   1   2023/05/11   04:20:19.760   19.3640   -99.1970     0.91    3.20  1.0000    38.7900      20230511042019.76
   2   2023/05/11   04:21:29.230   19.3690   -99.1900     1.40    1.40  0.9878    39.6100      20230511042129.23
   3   2023/05/11   04:21:38.580   19.3600   -99.2010     0.68    1.86  0.2259     9.1200      20230511042951.59
   4   2023/05/11   04:21:48.490   19.3670   -99.1940     1.40    0.82  0.2981    11.9500      20230511042129.23
   5   2023/05/11   04:22:04.630   19.3650   -99.1940     1.05    0.87  0.3223    11.7800      20230511042229.97
   6   2023/05/11   04:22:29.970   19.3690   -99.1980     0.95    1.30  0.9768    35.7000      20230511042229.97
   7   2023/05/11   04:23:09.530   19.3680   -99.1910     1.45    1.34  0.3384    13.6400      20230515004101.45
   8   2023/05/11   04:24:34.000   19.3690   -99.2000     1.05    0.78  0.2841    10.3800      20230511042229.97
   9   2023/05/11   04:25:56.960   19.3640   -99.1980     0.76    1.10  0.9752    39.1900      20230511042556.96
  10   2023/05/11   04:29:51.590   19.3600   -99.2010     0.78    2.60  0.9959    40.2000      20230511042951.59
  11   2023/05/11   04:34:53.090   19.3630   -99.1930     1.23    1.80  0.9808    41.7700      20230511043453.09
  12   2023/05/11   04:40:35.110   19.3580   -99.2030     0.83    2.06  0.3467    13.9900      20230511042951.59
  13   2023/05/11   05:14:01.560   19.3600   -99.2010     0.73    1.49  0.2237     9.0300      20230511042951.59
  14   2023/05/11   05:19:35.290   19.3600   -99.2010     0.88    1.67  0.2947    11.9000      20230511042951.59
  15   2023/05/11   07:43:22.890   19.3640   -99.1910     1.17    2.00  0.9904    43.6300      20230511074322.89
  16   2023/05/11   10:39:31.170   19.3680   -99.2000     0.86    0.85  0.4363    17.5300      20230511042556.96
  17   2023/05/11   13:25:10.260   19.3630   -99.1970     1.42    1.60  0.9894    37.1200      20230511132510.26
  18   2023/05/11   14:03:08.030   19.3580   -99.2000     1.05    1.08  0.2824     9.0800      20230511155809.43
  19   2023/05/11   14:14:34.820   19.3660   -99.1860     1.46    1.43  0.2742    10.3600      20230511143828.21
  20   2023/05/11   14:38:28.210   19.3640   -99.1860     1.51    1.60  0.9874    37.3200      20230511143828.21
  21   2023/05/11   14:41:20.500   19.3590   -99.1970     0.75    0.97  0.2500     9.3300      20230511144340.97
  22   2023/05/11   14:43:40.970   19.3610   -99.1950     0.65    1.20  0.9915    37.0100      20230511144340.97
  23   2023/05/11   15:05:31.120   19.3640   -99.1930     1.63    2.20  0.9982    43.6400      20230511150531.12
  24   2023/05/11   15:19:02.850   19.3570   -99.1990     0.55    0.89  0.2502     9.3400      20230511144340.97
  25   2023/05/11   15:25:23.270   19.3610   -99.1940     1.28    2.00  0.9943    41.2700      20230511152523.27
  26   2023/05/11   15:58:09.430   19.3600   -99.1960     1.00    1.30  0.9898    31.8100      20230511155809.43
  27   2023/05/11   16:01:19.590   19.3600   -99.2010     0.78    0.83  0.3094    11.2500      20230511171302.72
  28   2023/05/11   16:46:23.480   19.3670   -99.1900     1.67    0.98  0.2898     9.7200      20230511165546.88
  29   2023/05/11   16:55:46.880   19.3630   -99.1900     1.77    1.20  0.9920    33.2700      20230511165546.88
  30   2023/05/11   17:13:02.720   19.3620   -99.1970     0.78    1.00  0.9941    36.1600      20230511171302.72
