20230511042017.00 19.363  -99.199 0.915 2.6 19.363  -99.199 0.915 
20230511042019.76 19.364  -99.197 0.914 3.2 19.364  -99.197 0.914 
20230511042129.23 19.369  -99.190 1.399 1.4 19.369  -99.190 1.399 
20230511042229.97 19.369  -99.198 0.953 1.3 19.369  -99.198 0.953 
20230511042556.96 19.364  -99.198 0.759 1.1 19.364  -99.198 0.759 
20230511042948.21 19.364  -99.206 0.149 2.4 19.364  -99.206 0.149 
20230511042951.59 19.360  -99.201 0.777 2.6 19.360  -99.201 0.777 
20230511043453.09 19.363  -99.193 1.233 1.8 19.363  -99.193 1.233 
20230511074322.89 19.364  -99.191 1.173 2.0 19.364  -99.191 1.173 
20230511132510.26 19.363  -99.197 1.420 1.6 19.363  -99.197 1.420 
20230511143828.21 19.364  -99.186 1.511 1.6 19.364  -99.186 1.511 
20230511144340.97 19.361  -99.195 0.648 1.2 19.361  -99.195 0.648 
20230511150531.12 19.364  -99.193 1.628 2.2 19.364  -99.193 1.628 
20230511152523.27 19.361  -99.194 1.276 2.0 19.361  -99.194 1.276 
20230511155809.43 19.360  -99.196 1.004 1.3 19.360  -99.196 1.004 
20230511165546.88 19.363  -99.190 1.772 1.2 19.363  -99.190 1.772 
20230511171302.72 19.362  -99.197 0.782 1.0 19.362  -99.197 0.782 
20230512101933.83 19.362  -99.206 0.479 1.3 19.362  -99.206 0.479 
20230512234650.64 19.363  -99.191 1.324 2.2 19.363  -99.191 1.324 
20230515004101.45 19.372  -99.193 1.552 1.8 19.372  -99.193 1.552 
20230516105030.89 19.362  -99.181 1.091 1.6 19.362  -99.181 1.091 
20230517040903.56 19.363  -99.181 1.526 1.5 19.363  -99.181 1.526 
20231203002902.38 19.364  -99.200 0.880 2.0 19.364  -99.200 0.880 
20231212170627.74 19.366  -99.198 1.040 2.7 19.366  -99.198 1.040 
20231212170753.06 19.366  -99.200 1.219 3.0 19.366  -99.200 1.219 
20231212170855.36 19.363  -99.201 1.371 2.4 19.363  -99.201 1.371 
20231212170906.04 19.370  -99.198 0.594 1.6 19.370  -99.198 0.594 
20231212171229.12 19.367  -99.198 1.027 1.1 19.367  -99.198 1.027 
20231212171437.60 19.367  -99.198 0.889 1.5 19.367  -99.198 0.889 
20231212171437.68 19.366  -99.197 0.585 1.7 19.366  -99.197 0.585 
20231212171744.04 19.363  -99.200 1.278 1.7 19.363  -99.200 1.278 
20231212172856.50 19.369  -99.197 0.898 1.9 19.369  -99.197 0.898 
20231212202309.88 19.362  -99.201 1.029 2.1 19.362  -99.201 1.029 
20231214201314.72 19.365  -99.199 1.197 3.2 19.365  -99.199 1.197 
20231214201520.68 19.364  -99.199 1.029 2.5 19.364  -99.199 1.029 
20231215052526.00 19.365  -99.199 1.070 1.3 19.365  -99.199 1.070 
20231215102230.84 19.366  -99.197 0.424 1.6 19.366  -99.197 0.424 
20231216091035.51 19.366  -99.200 1.142 1.6 19.366  -99.200 1.142 
20231218192755.98 19.362  -99.203 1.702 1.1 19.362  -99.203 1.702 
20231226133545.28 19.368  -99.199 0.864 1.4 19.368  -99.199 0.864 
20231228093354.80 19.367  -99.199 0.964 1.8 19.367  -99.199 0.964 
20231228094951.29 19.367  -99.199 0.939 1.5 19.367  -99.199 0.939 
