20231203002902.38 19.364  -99.200 0.880 2.0 19.364  -99.200 0.880 
20231212170627.74 19.366  -99.198 1.040 2.7 19.366  -99.198 1.040 
20231212170753.06 19.366  -99.200 1.219 3.0 19.366  -99.200 1.219 
20231212170855.36 19.363  -99.201 1.371 2.4 19.363  -99.201 1.371 
20231212170906.04 19.370  -99.198 0.594 1.6 19.370  -99.198 0.594 
20231212171229.12 19.367  -99.198 1.027 1.1 19.367  -99.198 1.027 
20231212171437.60 19.367  -99.198 0.889 1.5 19.367  -99.198 0.889 
20231212171437.68 19.366  -99.197 0.585 1.7 19.366  -99.197 0.585 
20231212171744.04 19.363  -99.200 1.278 1.7 19.363  -99.200 1.278 
20231212172856.50 19.369  -99.197 0.898 1.9 19.369  -99.197 0.898 
20231212202309.88 19.362  -99.201 1.029 2.1 19.362  -99.201 1.029 
20231214201314.72 19.365  -99.199 1.197 3.2 19.365  -99.199 1.197 
20231214201520.68 19.364  -99.199 1.029 2.5 19.364  -99.199 1.029 
20231215052526.00 19.365  -99.199 1.070 1.3 19.365  -99.199 1.070 
20231215102230.84 19.366  -99.197 0.424 1.6 19.366  -99.197 0.424 
20231216091035.51 19.366  -99.200 1.142 1.6 19.366  -99.200 1.142 
20231218192755.98 19.362  -99.203 1.702 1.1 19.362  -99.203 1.702 
20231226133545.28 19.368  -99.199 0.864 1.4 19.368  -99.199 0.864 
20231228093354.80 19.367  -99.199 0.964 1.8 19.367  -99.199 0.964 
20231228094951.29 19.367  -99.199 0.939 1.5 19.367  -99.199 0.939 
