No.      Date        Time         Lat.      Lon.        Dep.     Mag.   Coef.      Times_MAD           Reference
   1   2023/05/01   07:31:19.130   19.3540   -99.1880     1.15    0.34  0.2579     9.2100      20230511144340.71
   2   2023/05/01   07:55:48.180   19.3470   -99.1980     1.25    0.50  0.2491     9.1600      20230512234650.75
   3   2023/05/01   09:00:16.510   19.3610   -99.1870     1.00   -0.23  0.2425     9.2100      20230511042129.14
   4   2023/05/01   09:12:04.130   19.3720   -99.2230     0.50    0.52  0.2625     9.0100      20230511042559.47
   5   2023/05/01   09:32:25.490   19.3520   -99.1990     1.00    1.50  0.2617     9.0700      20230511042948.45
   6   2023/05/01   11:49:11.700   19.3780   -99.1950     0.50    0.72  0.2363     9.3600      20230511043452.89
   7   2023/05/01   12:02:55.770   19.3670   -99.2060     0.50    0.66  0.2214     9.1200      20230511074322.96
   1   2023/05/02   01:28:36.190   19.3490   -99.1760     1.00    0.99  0.2225     9.0700      20230511074322.96
   2   2023/05/02   03:02:52.030   19.3480   -99.2060     1.50    0.51  0.2485     9.2700      20230522050532.53
   3   2023/05/02   06:25:37.930   19.3610   -99.2050     1.50    0.27  0.2496     9.3900      20230511042129.14
   4   2023/05/02   07:14:11.390   19.3790   -99.1820     0.50    0.63  0.2248     9.1600      20230511074322.96
   5   2023/05/02   10:57:03.770   19.3540   -99.1940     1.25    0.35  0.2861     9.2700      20230511165546.87
   6   2023/05/02   11:07:34.450   19.3710   -99.2150     0.50    0.69  0.2385     9.3200      20230511150531.10
   7   2023/05/02   11:57:31.160   19.3530   -99.2210     1.50    0.70  0.2310     9.0300      20230511150531.10
   8   2023/05/02   14:24:17.490   19.3550   -99.2050     0.50    0.64  0.2450     9.2200      20230511042129.14
   9   2023/05/02   15:43:11.030   19.3600   -99.2120     1.25    1.21  0.2984     9.1700      20230512040128.42
  10   2023/05/02   17:36:10.590   19.3390   -99.2060     1.25    1.11  0.2872     9.2300      20230511044031.75
  11   2023/05/02   18:09:22.530   19.3710   -99.1910     1.25    0.81  0.2399     9.3800      20230511150531.10
  12   2023/05/02   20:50:13.470   19.3710   -99.2220     1.50    1.58  0.2531     9.1000      20230512101933.51
  13   2023/05/02   22:50:23.580   19.3600   -99.2010     2.00    1.54  0.2708     9.1800      20230511042951.83
   1   2023/05/03   02:27:30.710   19.3540   -99.1880     0.75    0.67  0.2428     9.0700      20230522050532.53
   2   2023/05/03   05:51:17.210   19.3710   -99.1800     1.25    0.90  0.2462     9.0800      20230512234650.75
   3   2023/05/03   08:47:58.770   19.3580   -99.2210     1.00    0.86  0.2493     9.1700      20230515004101.40
   4   2023/05/03   10:21:09.000   19.3850   -99.1870     1.50    0.10  0.2390     9.0600      20230511042129.14
   5   2023/05/03   11:31:48.360   19.3590   -99.1920     0.75    0.90  0.2451     9.0400      20230512234650.75
   6   2023/05/03   11:40:16.080   19.3520   -99.1870     1.50    1.61  0.2623     9.3100      20230511042948.45
   7   2023/05/03   15:11:25.720   19.3750   -99.1930     0.50    0.94  0.2495     9.3200      20230517040903.66
   8   2023/05/03   19:21:10.230   19.3630   -99.2100     0.80    0.84  0.2593     9.0200      20230511042016.80
   9   2023/05/03   21:38:03.660   19.3550   -99.1820     1.25    0.92  0.2212     9.0300      20230511074322.96
  10   2023/05/03   22:02:40.640   19.3660   -99.2190     0.50    0.99  0.2867     9.3100      20230511042412.50
   1   2023/05/04   07:35:48.680   19.3470   -99.2150     0.50    0.50  0.2304     9.0100      20230511150531.10
   2   2023/05/04   08:20:44.060   19.3580   -99.1870     0.50    1.45  0.2810     9.8800      20230511042948.45
   3   2023/05/04   08:21:47.960   19.3760   -99.2170     1.50    1.44  0.2606     9.1700      20230511042948.45
   4   2023/05/04   11:16:45.650   19.3650   -99.1800     1.25    0.87  0.2549     9.3300      20230512234650.75
   5   2023/05/04   12:03:16.350   19.3580   -99.2120     1.25    1.30  0.2515     9.3600      20230515084552.67
   6   2023/05/04   21:17:00.190   19.3710   -99.2090     1.50    0.79  0.2374     9.2900      20230511150531.10
   7   2023/05/04   23:52:46.170   19.3660   -99.1940     1.00    0.72  0.2482     9.3000      20230522050532.53
   1   2023/05/05   06:13:19.570   19.3710   -99.1980     1.50    0.99  0.2487     9.1400      20230512234650.75
   2   2023/05/05   06:27:48.810   19.3470   -99.1970     1.00    0.73  0.2355     9.2300      20230511150531.10
   3   2023/05/05   06:50:41.630   19.3690   -99.1870     1.50    0.66  0.2444     9.1500      20230517040903.66
   4   2023/05/05   06:50:52.770   19.3700   -99.1990     1.25    1.53  0.2613     9.1200      20230511042948.45
   5   2023/05/05   09:33:02.870   19.3470   -99.1860     0.75    0.68  0.2472     9.0800      20230512234650.75
   6   2023/05/05   10:02:41.870   19.3580   -99.1990     1.00    1.47  0.2582     9.0100      20230511042948.45
   7   2023/05/05   15:18:43.450   19.3660   -99.1990     1.25    1.57  0.2523     9.1500      20230516105030.72
   8   2023/05/05   19:25:38.770   19.3460   -99.1990     1.50    1.66  0.2678     9.3500      20230511042948.45
   9   2023/05/05   22:03:27.130   19.3750   -99.1750     1.25    1.02  0.2410     9.0200      20230517040903.66
  10   2023/05/05   23:40:51.340   19.3660   -99.2190     1.00    1.05  0.2320     9.1800      20230511043452.89
   1   2023/05/06   03:32:01.240   19.3490   -99.2100     0.50    0.83  0.2669     9.4600      20230511132510.19
   2   2023/05/06   07:02:42.190   19.3730   -99.2060     0.75    0.62  0.2205     9.0400      20230511074322.96
   3   2023/05/06   09:08:13.950   19.3580   -99.1870     1.50    1.59  0.2776     9.6800      20230511042948.45
   4   2023/05/06   09:55:53.970   19.3450   -99.1920     1.05    0.60  0.2612     9.1000      20230511042016.80
   5   2023/05/06   10:24:32.470   19.3590   -99.2040     1.50    0.92  0.2509     9.0200      20230512101933.51
   6   2023/05/06   12:01:45.440   19.3710   -99.1980     1.00    0.86  0.2678     9.8200      20230512234650.75
   7   2023/05/06   13:21:52.650   19.3420   -99.2130     1.00    1.63  0.2691     9.0900      20230511042951.83
   8   2023/05/06   16:27:06.270   19.3480   -99.2180     1.50    1.35  0.2631     9.1900      20230511143827.90
   9   2023/05/06   17:38:20.950   19.3730   -99.2060     1.25    1.00  0.2397     9.8400      20230511074322.96
  10   2023/05/06   19:45:29.320   19.3790   -99.2040     0.50    0.99  0.2569     9.1000      20230511132510.19
  11   2023/05/06   23:58:06.350   19.3540   -99.1930     0.75    1.48  0.2608     9.4800      20230516105030.72
   1   2023/05/07   05:07:56.900   19.3460   -99.2090     1.00    0.61  0.2787     9.0500      20230511042019.50
   2   2023/05/07   05:57:24.720   19.3790   -99.2000     0.50    0.72  0.2956     9.3000      20230511042229.63
   3   2023/05/07   08:55:48.770   19.3530   -99.2090     1.50    0.46  0.2339     9.2000      20230511150531.10
   4   2023/05/07   09:35:13.100   19.3580   -99.2170     1.25    1.52  0.2598     9.1300      20230511042948.45
   5   2023/05/07   11:39:26.710   19.3780   -99.1950     0.50    0.84  0.2367     9.3900      20230511043452.89
   6   2023/05/07   12:43:25.350   19.3660   -99.2110     1.50    0.81  0.2697     9.3200      20230511042559.47
   7   2023/05/07   13:37:53.630   19.3690   -99.1810     0.50    0.78  0.2410     9.0100      20230517040903.66
   8   2023/05/07   14:05:19.390   19.3660   -99.2130     1.00    0.84  0.2275     9.0200      20230511043452.89
   9   2023/05/07   19:57:21.650   19.3600   -99.2190     2.00    1.41  0.3009    10.1700      20230511042951.83
  10   2023/05/07   20:16:59.840   19.3540   -99.2180     0.90    0.66  0.2530     9.0300      20230511144340.71
  11   2023/05/07   22:58:11.330   19.3880   -99.2210     0.75    1.35  0.2660     9.6100      20230515004101.40
   1   2023/05/08   03:05:32.860   19.3670   -99.1980     0.50    0.90  0.2597     9.0900      20230511132510.19
   2   2023/05/08   04:59:16.720   19.3720   -99.2190     1.00    0.80  0.3135     9.1700      20230511155809.09
   3   2023/05/08   05:54:32.130   19.3720   -99.1930     1.00    0.87  0.2614     9.0100      20230511042559.47
   4   2023/05/08   09:27:04.580   19.3480   -99.2000     0.75    0.13  0.2784     9.0400      20230511165546.87
   5   2023/05/08   09:56:47.300   19.3710   -99.2100     0.50    0.76  0.2456     9.0500      20230512234650.75
   6   2023/05/08   11:31:41.840   19.3600   -99.2120     1.50    0.37  0.2638     9.1100      20230511171302.41
   1   2023/05/09   03:45:51.710   19.3750   -99.1810     1.00    0.93  0.2471     9.2500      20230517040903.66
