#No.      Date        Time         Lat.      Lon.        Dep.     Mag.   Coef.      Times_MAD           Reference
   1   2023/05/01   11:30:44.230   19.3630   -99.1940     1.87    0.73  0.3243     9.0000      20230511165546.88
   2   2023/05/01   12:21:42.250   19.3660   -99.1950     1.22    1.01  0.2546     9.2500      20230511074322.89
   1   2023/05/03   02:52:23.830   19.3590   -99.1920     1.33    1.41  0.2728     9.0400      20230511152523.27
   1   2023/05/04   04:22:00.480   19.3760   -99.1910     1.55    1.57  0.2873     9.2200      20230515004101.45
   2   2023/05/04   08:19:42.950   19.3610   -99.1880     1.67    0.44  0.3381     9.6100      20230511165546.88
   3   2023/05/04   18:45:29.280   19.3610   -99.2010     0.87    1.16  0.2749     9.7700      20230511042017.00
   1   2023/05/05   05:42:40.130   19.3620   -99.1970     1.68    0.91  0.2705     9.3800      20230511150531.12
   2   2023/05/05   10:22:56.920   19.3600   -99.1910     1.07    0.92  0.2477     9.0100      20230511074322.89
   3   2023/05/05   12:04:37.230   19.3630   -99.1950     0.87    1.07  0.2890    10.3100      20230511042017.00
   1   2023/05/08   08:01:03.210   19.3610   -99.1990     1.02    0.84  0.2548     9.0700      20230511042017.00
   2   2023/05/08   10:53:39.740   19.3620   -99.1950     1.27    0.98  0.2539     9.1600      20230511074322.89
   3   2023/05/08   15:42:59.590   19.3570   -99.1910     0.75    0.93  0.2898     9.0800      20230511144340.97
   4   2023/05/08   18:15:02.580   19.3680   -99.1840     1.46    1.46  0.2896     9.2800      20230511143828.21
   1   2023/05/09   05:51:10.700   19.3610   -99.1830     1.58    1.08  0.3054     9.0500      20230517040903.56
   2   2023/05/09   08:59:00.900   19.3620   -99.1990     0.68    1.44  0.2704     9.0400      20230511042951.59
   3   2023/05/09   09:20:45.800   19.3670   -99.1990     0.82    0.82  0.2636     9.3400      20230511042017.00
   4   2023/05/09   10:56:59.190   19.3630   -99.1860     1.77    0.67  0.3421     9.6900      20230511165546.88
   1   2023/05/10   11:50:35.910   19.3630   -99.1880     1.77    0.65  0.3171     9.0500      20230511165546.88
   1   2023/05/11   04:20:19.760   19.3640   -99.1970     0.91    3.20  1.0000    34.5900      20230511042019.76
   2   2023/05/11   04:21:29.230   19.3690   -99.1900     1.40    1.40  0.9817    31.1100      20230511042129.23
   3   2023/05/11   04:21:48.500   19.3670   -99.1940     1.35    0.87  0.3003     9.5200      20230511042129.23
   4   2023/05/11   04:22:04.660   19.3650   -99.1940     0.95    1.09  0.3056     9.4700      20230511042229.97
   5   2023/05/11   04:22:29.970   19.3690   -99.1980     0.95    1.30  0.9624    29.8100      20230511042229.97
   6   2023/05/11   04:23:12.980   19.3600   -99.2010     0.78    1.83  0.3663    12.3000      20230511042951.59
   7   2023/05/11   04:24:34.040   19.3710   -99.1980     0.95    1.09  0.3111     9.6400      20230511042229.97
   8   2023/05/11   04:25:56.960   19.3640   -99.1980     0.76    1.10  0.9721    31.8200      20230511042556.96
   9   2023/05/11   04:29:51.590   19.3600   -99.2010     0.78    2.60  0.9951    33.4300      20230511042951.59
  10   2023/05/11   04:34:53.090   19.3630   -99.1930     1.23    1.80  0.9755    32.9900      20230511043453.09
  11   2023/05/11   04:40:35.110   19.3580   -99.2030     0.83    2.18  0.4110    13.8100      20230511042951.59
  12   2023/05/11   05:19:35.280   19.3600   -99.2010     0.88    1.80  0.3353    11.2600      20230511042951.59
  13   2023/05/11   07:10:56.290   19.3670   -99.1970     0.87    0.76  0.2584     9.1300      20230511042017.00
  14   2023/05/11   07:43:22.890   19.3640   -99.1910     1.17    2.00  0.9839    35.4900      20230511074322.89
  15   2023/05/11   09:13:28.800   19.3610   -99.1860     1.67    0.32  0.3174     9.0100      20230511165546.88
  16   2023/05/11   10:39:31.270   19.3660   -99.1960     0.71    0.89  0.4459    14.6000      20230511042556.96
  17   2023/05/11   13:25:10.260   19.3630   -99.1970     1.42    1.60  0.9877    31.1600      20230511132510.26
  18   2023/05/11   14:03:07.940   19.3680   -99.1900     1.46    1.42  0.2892     9.2200      20230511143828.21
  19   2023/05/11   14:38:28.210   19.3640   -99.1860     1.51    1.60  0.9871    31.4800      20230511143828.21
  20   2023/05/11   14:43:40.970   19.3610   -99.1950     0.65    1.20  0.9912    30.9400      20230511144340.97
  21   2023/05/11   15:05:31.120   19.3640   -99.1930     1.63    2.20  0.9958    34.5000      20230511150531.12
  22   2023/05/11   15:25:23.270   19.3610   -99.1940     1.28    2.00  0.9902    32.8500      20230511152523.27
  23   2023/05/11   15:37:16.540   19.3650   -99.1870     1.42    1.86  0.2789     9.2400      20230512234650.64
  24   2023/05/11   15:58:09.430   19.3600   -99.1960     1.00    1.30  0.9880    26.2600      20230511155809.43
  25   2023/05/11   16:01:19.720   19.3620   -99.1930     0.68    0.95  0.3779    11.6400      20230511171302.72
  26   2023/05/11   16:46:23.460   19.3670   -99.1900     1.77    0.95  0.3300     9.3700      20230511165546.88
  27   2023/05/11   16:55:46.880   19.3630   -99.1900     1.77    1.20  0.9907    28.1300      20230511165546.88
  28   2023/05/11   17:13:02.720   19.3620   -99.1970     0.78    1.00  0.9942    30.6300      20230511171302.72
  29   2023/05/11   20:07:49.710   19.3660   -99.2020     0.38    1.55  0.4701    13.9400      20230512101933.83
  30   2023/05/11   21:00:55.060   19.3580   -99.2010     0.68    1.00  0.3293    10.1400      20230511171302.72
   1   2023/05/12   04:05:17.920   19.3660   -99.1990     0.88    0.65  0.3941    12.1300      20230511171302.72
   2   2023/05/12   10:02:58.090   19.3720   -99.1950     1.50    1.34  0.2824     9.0400      20230515004101.45
   3   2023/05/12   10:19:33.830   19.3620   -99.2060     0.43    1.30  0.9895    29.3900      20230512101933.83
   4   2023/05/12   10:31:01.180   19.3670   -99.1860     1.87    0.56  0.4395    12.6200      20230511165546.88
   5   2023/05/12   23:46:50.640   19.3630   -99.1910     1.32    2.20  0.9997    33.2600      20230512234650.64
   1   2023/05/13   13:23:11.010   19.3670   -99.2010     0.82    1.22  0.2602     9.3300      20230511042017.00
   2   2023/05/13   15:17:27.510   19.3680   -99.1970     0.91    0.96  0.2724     9.5000      20230511042019.76
   1   2023/05/14   14:37:46.090   19.3580   -99.2010     0.68    1.54  0.2679     9.1400      20230511042951.59
   1   2023/05/15   00:41:01.450   19.3720   -99.1930     1.55    1.80  0.9965    31.6700      20230515004101.45
   2   2023/05/15   02:53:39.010   19.3710   -99.1940     1.05    1.13  0.2937     9.0300      20230511042229.97
   3   2023/05/15   14:45:15.270   19.3680   -99.1910     1.27    1.32  0.2576     9.3000      20230511074322.89
   4   2023/05/15   15:21:46.310   19.3670   -99.1990     1.42    1.20  0.2975     9.5000      20230511132510.26
   1   2023/05/16   06:19:48.710   19.3670   -99.1880     1.67    0.59  0.3302     9.4000      20230511165546.88
   2   2023/05/16   10:50:30.890   19.3620   -99.1810     1.09    1.60  0.9993    30.1500      20230516105030.89
   1   2023/05/17   04:09:03.560   19.3630   -99.1810     1.53    1.50  0.9758    29.0000      20230517040903.56
   2   2023/05/17   09:10:42.750   19.3600   -99.2080     0.10    1.88  0.2462     9.0400      20230511042948.21
   3   2023/05/17   09:52:57.650   19.3630   -99.1950     1.37    1.02  0.2855     9.5400      20230512234650.64
   4   2023/05/17   12:40:44.960   19.3720   -99.1890     1.45    1.78  0.2837     9.1000      20230515004101.45
   1   2023/05/18   06:43:54.150   19.3630   -99.1930     1.23    1.13  0.2652     9.0600      20230511043453.09
   2   2023/05/18   07:45:51.710   19.3690   -99.2000     1.05    0.81  0.2918     9.0100      20230511042229.97
   3   2023/05/18   09:52:05.560   19.3680   -99.1890     1.07    0.85  0.2610     9.4900      20230511074322.89
   4   2023/05/18   10:28:55.400   19.3610   -99.1970     1.02    0.90  0.2660     9.4700      20230511042017.00
   1   2023/05/19   11:17:57.550   19.3610   -99.1940     1.82    0.50  0.3146     9.0400      20230511165546.88
   2   2023/05/19   12:41:52.380   19.3630   -99.2030     0.82    1.20  0.2573     9.1600      20230511042017.00
   3   2023/05/19   14:41:09.680   19.3650   -99.1930     1.33    1.40  0.2676     9.1300      20230511043453.09
   1   2023/05/20   00:06:48.930   19.3680   -99.1840     1.56    1.50  0.2803     9.0200      20230511143828.21
   2   2023/05/20   00:37:20.370   19.3640   -99.1970     0.81    1.08  0.2595     9.0400      20230511042019.76
   1   2023/05/21   04:11:53.700   19.3670   -99.1920     1.67    0.69  0.3110     9.0200      20230511165546.88
   2   2023/05/21   09:41:22.550   19.3600   -99.1950     1.22    0.90  0.2492     9.0100      20230511074322.89
   3   2023/05/21   13:27:33.900   19.3590   -99.1990     0.92    0.99  0.2745     9.9100      20230511042017.00
   1   2023/05/22   02:23:52.660   19.3740   -99.1970     1.65    1.46  0.2844     9.0200      20230515004101.45
   2   2023/05/22   08:47:16.040   19.3620   -99.2040     0.25    1.68  0.2461     9.1000      20230511042948.21
   3   2023/05/22   12:00:59.020   19.3660   -99.2010     0.88    0.49  0.2946     9.0400      20230511171302.72
   1   2023/05/23   09:54:17.640   19.3610   -99.1860     1.67    0.29  0.3240     9.2700      20230511165546.88
   2   2023/05/23   09:56:23.430   19.3650   -99.1970     1.47    0.61  0.2860     9.0800      20230511132510.26
   3   2023/05/23   10:35:21.350   19.3640   -99.1970     1.01    0.53  0.2672     9.2800      20230511042019.76
   1   2023/05/24   09:01:49.600   19.3670   -99.1930     1.13    0.95  0.2689     9.1900      20230511043453.09
   1   2023/05/25   11:22:32.260   19.3670   -99.1970     1.23    1.09  0.2651     9.0700      20230511043453.09
   2   2023/05/25   19:55:12.440   19.3630   -99.1980     1.33    1.38  0.2736     9.0900      20230511152523.27
   1   2023/05/26   03:13:45.570   19.3580   -99.1970     0.73    1.66  0.2778     9.5200      20230511042951.59
   2   2023/05/26   05:37:16.630   19.3680   -99.1910     1.17    0.62  0.2538     9.2300      20230511074322.89
   3   2023/05/26   10:02:23.570   19.3620   -99.1990     0.68    1.25  0.2683     9.1900      20230511042951.59
   4   2023/05/26   10:36:54.680   19.3610   -99.1950     1.02    0.72  0.2525     9.1800      20230511042017.00
   5   2023/05/26   14:39:28.840   19.3620   -99.1930     1.53    1.44  0.2731     9.6200      20230511150531.12
   6   2023/05/26   18:43:16.710   19.3600   -99.1990     0.78    1.79  0.2629     9.0100      20230511042951.59
   1   2023/05/27   04:41:10.290   19.3640   -99.1890     1.58    1.18  0.2644     9.2300      20230511150531.12
   2   2023/05/27   09:39:23.920   19.3590   -99.1870     1.22    1.28  0.2731     9.1800      20230512234650.64
   3   2023/05/27   13:05:13.020   19.3680   -99.2080     0.10    2.25  0.2472     9.1900      20230511042948.21
   4   2023/05/27   16:13:35.610   19.3600   -99.2020     0.10    2.27  0.2546     9.4700      20230511042948.21
   5   2023/05/27   17:39:17.930   19.3610   -99.1990     0.75    0.94  0.2883     9.1100      20230511144340.97
   1   2023/05/28   10:26:56.290   19.3590   -99.1920     1.87    0.44  0.3107     9.0300      20230511165546.88
   2   2023/05/28   10:27:21.460   19.3630   -99.1900     1.67    0.63  0.3169     9.2000      20230511165546.88
   3   2023/05/28   13:09:54.120   19.3580   -99.1920     0.95    0.81  0.3411     9.2600      20230511155809.43
   4   2023/05/28   13:16:31.790   19.3640   -99.1970     1.01    0.63  0.2616     9.2100      20230511042019.76
   5   2023/05/28   13:55:29.130   19.3670   -99.1990     1.02    1.10  0.2506     9.1500      20230511042017.00
   6   2023/05/28   14:45:41.000   19.3600   -99.1950     0.81    0.99  0.2574     9.0600      20230511042019.76
   1   2023/05/29   04:19:24.320   19.3690   -99.2020     0.85    1.14  0.2973     9.1300      20230511042229.97
   2   2023/05/29   08:42:53.470   19.3680   -99.2100     0.25    1.75  0.2442     9.0600      20230511042948.21
   3   2023/05/29   10:54:38.090   19.3680   -99.1890     1.68    0.90  0.2619     9.1300      20230511150531.12
   1   2023/05/30   07:29:05.260   19.3680   -99.2060     0.05    1.87  0.2450     9.0200      20230511042948.21
   2   2023/05/30   07:45:33.440   19.3620   -99.1830     1.14    1.21  0.3165     9.5600      20230516105030.89
   3   2023/05/30   09:01:05.140   19.3610   -99.1940     1.82    0.33  0.3185     9.0200      20230511165546.88
   4   2023/05/30   09:11:50.020   19.3590   -99.1920     1.72    0.41  0.3196     9.0500      20230511165546.88
   5   2023/05/30   17:56:05.330   19.3600   -99.1890     1.68    1.50  0.2593     9.0700      20230511150531.12
   1   2023/05/31   09:30:53.710   19.3590   -99.1930     1.42    1.18  0.2696     9.0100      20230512234650.64
   2   2023/05/31   17:41:55.010   19.3650   -99.1950     1.37    1.39  0.2932     9.3500      20230511132510.26
   3   2023/05/31   22:32:08.760   19.3660   -99.1930     0.73    0.82  0.3000     9.2900      20230511171302.72
